id,title,grade,subject,volume,collection_or_program,publisher_or_imprint,publication_year_or_era,date_confidence,local_file,image_url,page_url,source_name,source_caption_or_note,rights_note
2023-ket-noi-tieng-anh-4-tap-2,Tiếng Anh 4,4,Tiếng Anh,Tập 2,2018 GDPT / 2023 Grade 4 curriculum,Kết nối tri thức với cuộc sống / Global Success,2023+,curriculum-era,images/2023-ket-noi-tieng-anh-4-tap-2-loigiaihay.png,https://img.loigiaihay.com/picture/2024/0123/screen-shot-2024-01-23-at-145402.png,https://loigiaihay.com/sgk-tieng-anh-4-tap-2-pdf-tieng-anh-4-tap-2-global-success-a155416.html,Loigiaihay,Page title: SGK Tiếng Anh 4 tập 2 - PDF Tiếng Anh 4 tập 2 Global Success | Sách giáo khoa lớp 4,Use as research reference; clear reuse rights not established.
2023-ket-noi-am-nhac-4,Âm nhạc 4,4,Âm nhạc,single volume,2018 GDPT / 2023 Grade 4 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-am-nhac-4-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1031/screenshot-1.png,https://loigiaihay.com/sgk-am-nhac-4-pdf-am-nhac-4-ket-noi-tri-thuc-a176429.html,Loigiaihay,Page title: SGK Âm nhạc 4 - PDF Âm nhạc 4 Kết nối tri thức | Sách giáo khoa lớp 4,Use as research reference; clear reuse rights not established.
2023-ket-noi-cong-nghe-4,Công nghệ 4,4,Công nghệ,single volume,2018 GDPT / 2023 Grade 4 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-cong-nghe-4-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1031/screenshot-4.png,https://loigiaihay.com/sgk-cong-nghe-4-pdf-cong-nghe-4-ket-noi-tri-thuc-a176432.html,Loigiaihay,Page title: SGK Công nghệ 4 - PDF Công nghệ 4 Kết nối tri thức | Sách giáo khoa lớp 4,Use as research reference; clear reuse rights not established.
2023-ket-noi-dao-duc-4,Đạo đức 4,4,Đạo đức,single volume,2018 GDPT / 2023 Grade 4 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-dao-duc-4-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1031/screenshot-8.png,https://loigiaihay.com/sgk-dao-duc-4-pdf-dao-duc-4-ket-noi-tri-thuc-a176436.html,Loigiaihay,Page title: SGK Đạo đức 4 - PDF Đạo đức 4 Kết nối tri thức | Sách giáo khoa lớp 4,Use as research reference; clear reuse rights not established.
2023-ket-noi-giao-duc-the-chat-4,Giáo dục thể chất 4,4,Giáo dục thể chất,single volume,2018 GDPT / 2023 Grade 4 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-giao-duc-the-chat-4-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1031/screenshot-10.png,https://loigiaihay.com/sgk-giao-duc-the-chat-4-pdf-giao-duc-the-chat-4-ket-noi-tri-thuc-a176438.html,Loigiaihay,Page title: SGK Giáo dục thể chất 4 - PDF Giáo dục thể chất 4 Kết nối tri thức | Sách giáo khoa lớp 4,Use as research reference; clear reuse rights not established.
2023-ket-noi-hoat-dong-trai-nghiem-4,Hoạt động trải nghiệm 4,4,Hoạt động trải nghiệm,single volume,2018 GDPT / 2023 Grade 4 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-hoat-dong-trai-nghiem-4-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1031/screenshot-18.png,https://loigiaihay.com/sgk-hoat-dong-trai-nghiem-huong-nghiep-4-pdf-hoat-dong-trai-nghiem-huong-nghiep-4-ket-noi-tri-thuc-a176443.html,Loigiaihay,Page title: SGK Hoạt động trải nghiệm 4 - PDF Hoạt động trải nghiệm 4 Kết nối tri thức | Sách giáo khoa lớp 4,Use as research reference; clear reuse rights not established.
2023-ket-noi-lich-su-dia-li-4,Lịch sử và Địa lí 4,4,Lịch sử và Địa lí,single volume,2018 GDPT / 2023 Grade 4 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-lich-su-dia-li-4-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1031/screenshot-24.png,https://loigiaihay.com/sgk-lich-su-va-dia-li-4-pdf-lich-su-va-dia-li-4-ket-noi-tri-thuc-a176451.html,Loigiaihay,Page title: SGK Lịch sử và Địa lí 4 - PDF Lịch sử và Địa lí 4 Kết nối tri thức | Sách giáo khoa lớp 4,Use as research reference; clear reuse rights not established.
2023-ket-noi-tin-hoc-4,Tin học 4,4,Tin học,single volume,2018 GDPT / 2023 Grade 4 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-tin-hoc-4-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1031/screenshot-27.png,https://loigiaihay.com/sgk-tin-hoc-4-pdf-tin-hoc-4-ket-noi-tri-thuc-a176456.html,Loigiaihay,Page title: SGK Tin học 4 - PDF Tin học 4 Kết nối tri thức | Sách giáo khoa lớp 4,Use as research reference; clear reuse rights not established.
2023-ket-noi-mi-thuat-4,Mĩ thuật 4,4,Mĩ thuật,single volume,2018 GDPT / 2023 Grade 4 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-mi-thuat-4-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1031/screenshot-30.png,https://loigiaihay.com/sgk-mi-thuat-4-pdf-mi-thuat-4-ket-noi-tri-thuc-a176460.html,Loigiaihay,Page title: SGK Mĩ thuật 4 - PDF Mĩ thuật 4 Kết nối tri thức | Sách giáo khoa lớp 4,Use as research reference; clear reuse rights not established.
2024-ket-noi-tieng-viet-5-tap-1,Tiếng Việt 5,5,Tiếng Việt,Tập 1,2018 GDPT / 2024 Grade 5 curriculum,Kết nối tri thức với cuộc sống,2024+,curriculum-era,images/2024-ket-noi-tieng-viet-5-tap-1-loigiaihay.png,https://img.loigiaihay.com/picture/2024/0403/screenshot-83.png,https://loigiaihay.com/sgk-tieng-viet-5-tap-1-pdf-tieng-viet-5-tap-1-ket-noi-tri-thuc-a160242.html,Loigiaihay,Page title: SGK Tiếng Việt 5 tập 1 - PDF Tiếng Việt 5 tập 1 Kết nối tri thức | Sách giáo khoa lớp 5,Use as research reference; clear reuse rights not established.
2024-ket-noi-tieng-viet-5-tap-2,Tiếng Việt 5,5,Tiếng Việt,Tập 2,2018 GDPT / 2024 Grade 5 curriculum,Kết nối tri thức với cuộc sống,2024+,curriculum-era,images/2024-ket-noi-tieng-viet-5-tap-2-loigiaihay.png,https://img.loigiaihay.com/picture/2024/0403/screenshot-82.png,https://loigiaihay.com/sgk-tieng-viet-5-tap-2-pdf-tieng-viet-5-tap-2-ket-noi-tri-thuc-a160247.html,Loigiaihay,Page title: SGK Tiếng Việt 5 tập 2 - PDF Tiếng Việt 5 tập 2 Kết nối tri thức | Sách giáo khoa lớp 5,Use as research reference; clear reuse rights not established.
2024-ket-noi-tieng-anh-5-tap-1,Tiếng Anh 5,5,Tiếng Anh,Tập 1,2018 GDPT / 2024 Grade 5 curriculum,Kết nối tri thức với cuộc sống / Global Success,2024+,curriculum-era,images/2024-ket-noi-tieng-anh-5-tap-1-loigiaihay.png,https://img.loigiaihay.com/picture/2024/0116/screen-shot-2024-01-16-at-142454.png,https://loigiaihay.com/sgk-tieng-anh-5-tap-1-pdf-tieng-anh-5-tap-1-ket-noi-tri-thuc-a155094.html,Loigiaihay,Page title: SGK Tiếng Anh 5 tập 1 - PDF Tiếng Anh 5 tập 1 Global Success | Sách giáo khoa lớp 5,Use as research reference; clear reuse rights not established.
2024-ket-noi-tieng-anh-5-tap-2,Tiếng Anh 5,5,Tiếng Anh,Tập 2,2018 GDPT / 2024 Grade 5 curriculum,Kết nối tri thức với cuộc sống / Global Success,2024+,curriculum-era,images/2024-ket-noi-tieng-anh-5-tap-2-loigiaihay.png,https://img.loigiaihay.com/picture/2024/0116/screen-shot-2024-01-16-at-145638.png,https://loigiaihay.com/sgk-tieng-anh-5-tap-1-pdf-tieng-anh-5-tap-2-ket-noi-tri-thuc-a155096.html,Loigiaihay,Page title: SGK Tiếng Anh 5 tập 2 - PDF Tiếng Anh 5 tập 2 Global Success | Sách giáo khoa lớp 5,Use as research reference; clear reuse rights not established.
2024-ket-noi-am-nhac-5,Âm nhạc 5,5,Âm nhạc,single volume,2018 GDPT / 2024 Grade 5 curriculum,Kết nối tri thức với cuộc sống,2024+,curriculum-era,images/2024-ket-noi-am-nhac-5-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1018/screenshot-24.png,https://loigiaihay.com/sgk-am-nhac-5-pdf-am-nhac-5-ket-noi-tri-thuc-a175424.html,Loigiaihay,Page title: SGK Âm nhạc 5 - PDF Âm nhạc 5 Kết nối tri thức | Sách giáo khoa lớp 5,Use as research reference; clear reuse rights not established.
2024-ket-noi-cong-nghe-5,Công nghệ 5,5,Công nghệ,single volume,2018 GDPT / 2024 Grade 5 curriculum,Kết nối tri thức với cuộc sống,2024+,curriculum-era,images/2024-ket-noi-cong-nghe-5-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1018/screenshot-25.png,https://loigiaihay.com/sgk-cong-nghe-5-pdf-cong-nghe-5-ket-noi-tri-thuc-a175428.html,Loigiaihay,Page title: SGK Công nghệ 5 - PDF Công nghệ 5 Kết nối tri thức | Sách giáo khoa lớp 5,Use as research reference; clear reuse rights not established.
2024-ket-noi-dao-duc-5,Đạo đức 5,5,Đạo đức,single volume,2018 GDPT / 2024 Grade 5 curriculum,Kết nối tri thức với cuộc sống,2024+,curriculum-era,images/2024-ket-noi-dao-duc-5-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1018/screenshot-29.png,https://loigiaihay.com/sgk-dao-duc-5-pdf-dao-duc-5-ket-noi-tri-thuc-a175432.html,Loigiaihay,Page title: SGK Đạo đức 5 - PDF Đạo đức 5 Kết nối tri thức | Sách giáo khoa lớp 5,Use as research reference; clear reuse rights not established.
2024-ket-noi-lich-su-dia-li-5,Lịch sử và Địa lí 5,5,Lịch sử và Địa lí,single volume,2018 GDPT / 2024 Grade 5 curriculum,Kết nối tri thức với cuộc sống,2024+,curriculum-era,images/2024-ket-noi-lich-su-dia-li-5-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1021/screenshot-53.png,https://loigiaihay.com/sgk-lich-su-va-dia-li-5-pdf-lich-su-va-dia-li-5-ket-noi-tri-thuc-a175509.html,Loigiaihay,Page title: SGK Lịch sử và Địa lí 5 - PDF Lịch sử và Địa lí 5 Kết nối tri thức | Sách giáo khoa lớp 5,Use as research reference; clear reuse rights not established.
2024-ket-noi-tin-hoc-5,Tin học 5,5,Tin học,single volume,2018 GDPT / 2024 Grade 5 curriculum,Kết nối tri thức với cuộc sống,2024+,curriculum-era,images/2024-ket-noi-tin-hoc-5-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1021/screenshot-60.png,https://loigiaihay.com/sgk-tin-hoc-5-pdf-tin-hoc-5-ket-noi-tri-thuc-a175517.html,Loigiaihay,Page title: SGK Tin học 5 - PDF Tin học 5 Kết nối tri thức | Sách giáo khoa lớp 5,Use as research reference; clear reuse rights not established.
2021-ket-noi-toan-6-tap-1,Toán 6,6,Toán,Tập 1,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống,2021+,curriculum-era,images/2021-ket-noi-toan-6-tap-1-loigiaihay.png,https://img.loigiaihay.com/picture/2024/0122/1.png,https://loigiaihay.com/sgk-toan-6-tap-1-pdf-toan-6-tap-1-ket-noi-tri-thuc-a155274.html,Loigiaihay,Page title: SGK Toán 6 tập 1 - PDF Toán 6 tập 1 Kết nối tri thức | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2021-ket-noi-toan-6-tap-2,Toán 6,6,Toán,Tập 2,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống,2021+,curriculum-era,images/2021-ket-noi-toan-6-tap-2-loigiaihay.png,https://img.loigiaihay.com/picture/2024/0122/1_1.png,https://loigiaihay.com/sgk-toan-6-tap-2-pdf-toan-6-tap-2-ket-noi-tri-thuc-a155275.html,Loigiaihay,Page title: SGK Toán 6 tập 2 - PDF Toán 6 tập 2 Kết nối tri thức | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2021-ket-noi-tieng-anh-6-tap-1,Tiếng Anh 6,6,Tiếng Anh,Tập 1,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống / Global Success,2021+,curriculum-era,images/2021-ket-noi-tieng-anh-6-tap-1-loigiaihay.jpg,https://img.loigiaihay.com/picture/2024/0122/ta6-global-tap1.jpg,https://loigiaihay.com/sgk-tieng-anh-6-tap-1-pdf-tieng-anh-6-tap-1-global-success-a155281.html,Loigiaihay,Page title: SGK Tiếng Anh 6 tập 1 - PDF Tiếng Anh 6 tập 1 Global Success | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2021-ket-noi-tieng-anh-6-tap-2,Tiếng Anh 6,6,Tiếng Anh,Tập 2,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống / Global Success,2021+,curriculum-era,images/2021-ket-noi-tieng-anh-6-tap-2-loigiaihay.jpg,https://img.loigiaihay.com/picture/2024/0122/ta6-global-tap2.jpg,https://loigiaihay.com/sgk-tieng-anh-6-tap-2-pdf-tieng-anh-6-tap-2-global-success-a155286.html,Loigiaihay,Page title: SGK Tiếng Anh 6 tập 2 - PDF Tiếng Anh 6 tập 2 Global Success | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2021-ket-noi-ngu-van-6-tap-1,Ngữ văn 6,6,Ngữ văn,Tập 1,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống,2021+,curriculum-era,images/2021-ket-noi-ngu-van-6-tap-1-loigiaihay.jpg,https://img.loigiaihay.com/picture/2024/0122/sss.jpg,https://loigiaihay.com/sgk-van-6-tap-1-pdf-van-6-tap-1-ket-noi-tri-thuc-a155309.html,Loigiaihay,Page title: SGK Văn 6 tập 1 - PDF Văn 6 tập 1 Kết nối tri thức | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2021-ket-noi-ngu-van-6-tap-2,Ngữ văn 6,6,Ngữ văn,Tập 2,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống,2021+,curriculum-era,images/2021-ket-noi-ngu-van-6-tap-2-loigiaihay.jpg,https://img.loigiaihay.com/picture/2024/0122/ww.jpg,https://loigiaihay.com/sgk-van-6-tap-2-pdf-van-6-tap-2-ket-noi-tri-thuc-a155311.html,Loigiaihay,Page title: SGK Văn 6 tập 2 - PDF Văn 6 tập 2 Kết nối tri thức | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2021-ket-noi-khoa-hoc-tu-nhien-6,Khoa học tự nhiên 6,6,Khoa học tự nhiên,single volume,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống,2021+,curriculum-era,images/2021-ket-noi-khoa-hoc-tu-nhien-6-loigiaihay.jpeg,https://img.loigiaihay.com/picture/2024/0123/img-5592.jpeg,https://loigiaihay.com/sgk-khoa-hoc-tu-nhien-6-pdf-khoa-hoc-tu-nhien-6-ket-noi-tri-thuc-a155413.html,Loigiaihay,Page title: SGK Khoa học tự nhiên 6 - PDF Khoa học tự nhiên 6 Kết nối tri thức | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2021-ket-noi-mi-thuat-6,Mĩ thuật 6,6,Mĩ thuật,single volume,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống,2021+,curriculum-era,images/2021-ket-noi-mi-thuat-6-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1030/screenshot-89.png,https://loigiaihay.com/sgk-mi-thuat-6-pdf-mi-thuat-6-ket-noi-tri-thuc-a176347.html,Loigiaihay,Page title: SGK Mĩ thuật 6 - PDF Mĩ thuật 6 Kết nối tri thức | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2021-ket-noi-cong-nghe-6,Công nghệ 6,6,Công nghệ,single volume,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống,2021+,curriculum-era,images/2021-ket-noi-cong-nghe-6-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1030/screenshot-96.png,https://loigiaihay.com/sgk-cong-nghe-6-pdf-cong-nghe-6-ket-noi-tri-thuc-a176358.html,Loigiaihay,Page title: SGK Công nghệ 6 - PDF Công nghệ 6 Kết nối tri thức | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2021-ket-noi-tin-hoc-6,Tin học 6,6,Tin học,single volume,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống,2021+,curriculum-era,images/2021-ket-noi-tin-hoc-6-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1030/screenshot-100.png,https://loigiaihay.com/sgk-tin-hoc-6-pdf-tin-hoc-6-ket-noi-tri-thuc-a176364.html,Loigiaihay,Page title: SGK Tin học 6 - PDF Tin học 6 Kết nối tri thức | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2021-ket-noi-lich-su-dia-li-6,Lịch sử và Địa lí 6,6,Lịch sử và Địa lí,single volume,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống,2021+,curriculum-era,images/2021-ket-noi-lich-su-dia-li-6-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1030/screenshot-103.png,https://loigiaihay.com/sgk-lich-su-va-dia-li-6-pdf-lich-su-va-dia-li-6-ket-noi-tri-thuc-a176369.html,Loigiaihay,Page title: SGK Lịch sử và Địa lí 6 - PDF Lịch sử và Địa lí 6 Kết nối tri thức | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2021-ket-noi-hoat-dong-trai-nghiem-6,"Hoạt động trải nghiệm, hướng nghiệp 6",6,"Hoạt động trải nghiệm, hướng nghiệp",single volume,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống,2021+,curriculum-era,images/2021-ket-noi-hoat-dong-trai-nghiem-6-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1030/screenshot-106.png,https://loigiaihay.com/sgk-hoat-dong-trai-nghiem-huong-nghiep-6-pdf-hoat-dong-trai-nghiem-huong-nghiep-6-ket-noi-tri-thuc-a176377.html,Loigiaihay,"Page title: SGK Hoạt động trải nghiệm, hướng nghiệp 6 - PDF Hoạt động trải nghiệm, hướng nghiệp 6 Kết nối tri thức | Sách giáo khoa lớp 6",Use as research reference; clear reuse rights not established.
2021-ket-noi-giao-duc-cong-dan-6,Giáo dục công dân 6,6,Giáo dục công dân,single volume,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống,2021+,curriculum-era,images/2021-ket-noi-giao-duc-cong-dan-6-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1030/screenshot-108.png,https://loigiaihay.com/sgk-giao-duc-cong-dan-6-pdf-giao-duc-cong-dan-6-ket-noi-tri-thuc-a176381.html,Loigiaihay,Page title: SGK Giáo dục công dân 6 - PDF Giáo dục công dân 6 Kết nối tri thức | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2021-ket-noi-giao-duc-the-chat-6,Giáo dục thể chất 6,6,Giáo dục thể chất,single volume,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống,2021+,curriculum-era,images/2021-ket-noi-giao-duc-the-chat-6-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1030/screenshot-113.png,https://loigiaihay.com/sgk-giao-duc-the-chat-6-pdf-giao-duc-the-chat-6-ket-noi-tri-thuc-a176385.html,Loigiaihay,Page title: SGK Giáo dục thể chất 6 - PDF Giáo dục thể chất 6 Kết nối tri thức | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2021-ket-noi-am-nhac-6,Âm nhạc 6,6,Âm nhạc,single volume,2018 GDPT / 2021 Grade 6 curriculum,Kết nối tri thức với cuộc sống,2021+,curriculum-era,images/2021-ket-noi-am-nhac-6-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1030/screenshot-119.png,https://loigiaihay.com/sgk-am-nhac-6-pdf-am-nhac-6-ket-noi-tri-thuc-a176391.html,Loigiaihay,Page title: SGK Âm nhạc 6 - PDF Âm nhạc 6 Kết nối tri thức | Sách giáo khoa lớp 6,Use as research reference; clear reuse rights not established.
2023-ket-noi-toan-8-tap-1,Toán 8,8,Toán,Tập 1,2018 GDPT / 2023 Grade 8 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-toan-8-tap-1-loigiaihay.png,https://img.loigiaihay.com/picture/2024/0122/1_12.png,https://loigiaihay.com/sgk-toan-8-tap-1-pdf-toan-8-tap-1-ket-noi-tri-thuc-a155295.html,Loigiaihay,Page title: SGK Toán 8 tập 1 - PDF Toán 8 tập 1 Kết nối tri thức | Sách giáo khoa lớp 8,Use as research reference; clear reuse rights not established.
2023-ket-noi-toan-8-tap-2,Toán 8,8,Toán,Tập 2,2018 GDPT / 2023 Grade 8 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-toan-8-tap-2-loigiaihay.png,https://img.loigiaihay.com/picture/2024/0122/1_13.png,https://loigiaihay.com/sgk-toan-8-tap-2-pdf-toan-8-tap-2-ket-noi-tri-thuc-a155297.html,Loigiaihay,Page title: SGK Toán 8 tập 2 - PDF Toán 8 tập 2 Kết nối tri thức | Sách giáo khoa lớp 8,Use as research reference; clear reuse rights not established.
2023-ket-noi-tieng-anh-8,Tiếng Anh 8,8,Tiếng Anh,single volume,2018 GDPT / 2023 Grade 8 curriculum,Kết nối tri thức với cuộc sống / Global Success,2023+,curriculum-era,images/2023-ket-noi-tieng-anh-8-loigiaihay.jpg,https://img.loigiaihay.com/picture/2024/0122/ta8-global_1.jpg,https://loigiaihay.com/sgk-tieng-anh-8-pdf-tieng-anh-8-global-success-a155325.html,Loigiaihay,Page title: SGK Tiếng Anh 8 - PDF Tiếng Anh 8 Global Success | Sách giáo khoa lớp 8,Use as research reference; clear reuse rights not established.
2023-ket-noi-ngu-van-8-tap-1,Ngữ văn 8,8,Ngữ văn,Tập 1,2018 GDPT / 2023 Grade 8 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-ngu-van-8-tap-1-loigiaihay.png,https://img.loigiaihay.com/picture/2024/0122/so-1_2.png,https://loigiaihay.com/sgk-van-8-tap-1-pdf-van-8-tap-1-ket-noi-tri-thuc-a155352.html,Loigiaihay,Page title: SGK Văn 8 tập 1 - PDF Văn 8 tập 1 Kết nối tri thức | Sách giáo khoa lớp 8,Use as research reference; clear reuse rights not established.
2023-ket-noi-ngu-van-8-tap-2,Ngữ văn 8,8,Ngữ văn,Tập 2,2018 GDPT / 2023 Grade 8 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-ngu-van-8-tap-2-loigiaihay.png,https://img.loigiaihay.com/picture/2024/0122/so-2_3.png,https://loigiaihay.com/sgk-van-8-tap-2-pdf-van-8-tap-2-ket-noi-tri-thuc-a155353.html,Loigiaihay,Page title: SGK Văn 8 tập 2 - PDF Văn 8 tập 2 Kết nối tri thức | Sách giáo khoa lớp 8,Use as research reference; clear reuse rights not established.
2023-ket-noi-khoa-hoc-tu-nhien-8,Khoa học tự nhiên 8,8,Khoa học tự nhiên,single volume,2018 GDPT / 2023 Grade 8 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-khoa-hoc-tu-nhien-8-loigiaihay.png,https://img.loigiaihay.com/picture/2024/0123/1_3.png,https://loigiaihay.com/sgk-khoa-hoc-tu-nhien-8-pdf-khoa-hoc-tu-nhien-8-ket-noi-tri-thuc-a155392.html,Loigiaihay,Page title: SGK Khoa học tự nhiên 8 - PDF Khoa học tự nhiên 8 Kết nối tri thức | Sách giáo khoa lớp 8,Use as research reference; clear reuse rights not established.
2023-ket-noi-tin-hoc-8,Tin học 8,8,Tin học,single volume,2018 GDPT / 2023 Grade 8 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-tin-hoc-8-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1028/screenshot-60.png,https://loigiaihay.com/sgk-tin-hoc-8-pdf-tin-hoc-8-ket-noi-tri-thuc-a176094.html,Loigiaihay,Page title: SGK Tin học 8 - PDF Tin học 8 Kết nối tri thức | Sách giáo khoa lớp 8,Use as research reference; clear reuse rights not established.
2023-ket-noi-hoat-dong-trai-nghiem-8,"Hoạt động trải nghiệm, hướng nghiệp 8",8,"Hoạt động trải nghiệm, hướng nghiệp",single volume,2018 GDPT / 2023 Grade 8 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-hoat-dong-trai-nghiem-8-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1028/screenshot-4.png,https://loigiaihay.com/sgk-hoat-dong-trai-nghiem-huong-nghiep-8-pdf-hoat-dong-trai-nghiem-huong-nghiep-8-ket-noi-tri-thuc-a176098.html,Loigiaihay,"Page title: SGK Hoạt động trải nghiệm, hướng nghiệp 8 - PDF Hoạt động trải nghiệm, hướng nghiệp 8 Kết nối tri thức | Sách giáo khoa lớp 8",Use as research reference; clear reuse rights not established.
2023-ket-noi-lich-su-dia-li-8,Lịch sử và Địa lí 8,8,Lịch sử và Địa lí,single volume,2018 GDPT / 2023 Grade 8 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-lich-su-dia-li-8-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1029/screenshot-8.png,https://loigiaihay.com/sgk-lich-su-va-dia-li-8-pdf-lich-su-va-dia-li-8-ket-noi-tri-thuc-a176154.html,Loigiaihay,Page title: SGK Lịch sử và Địa lí 8 - PDF Lịch sử và Địa lí 8 Kết nối tri thức | Sách giáo khoa lớp 8,Use as research reference; clear reuse rights not established.
2023-ket-noi-giao-duc-cong-dan-8,Giáo dục công dân 8,8,Giáo dục công dân,single volume,2018 GDPT / 2023 Grade 8 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-giao-duc-cong-dan-8-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1029/screenshot-24.png,https://loigiaihay.com/sgk-giao-duc-cong-dan-8-pdf-giao-duc-cong-dan-8-ket-noi-tri-thuc-a176165.html,Loigiaihay,Page title: SGK Giáo dục công dân 8 - PDF Giáo dục công dân 8 Kết nối tri thức | Sách giáo khoa lớp 8,Use as research reference; clear reuse rights not established.
2023-ket-noi-cong-nghe-8,Công nghệ 8,8,Công nghệ,single volume,2018 GDPT / 2023 Grade 8 curriculum,Kết nối tri thức với cuộc sống,2023+,curriculum-era,images/2023-ket-noi-cong-nghe-8-loigiaihay.png,https://img.loigiaihay.com/picture/2024/1029/screenshot-27.png,https://loigiaihay.com/sgk-cong-nghe-8-pdf-cong-nghe-8-ket-noi-tri-thuc-a176168.html,Loigiaihay,Page title: SGK Công nghệ 8 - PDF Công nghệ 8 Kết nối tri thức | Sách giáo khoa lớp 8,Use as research reference; clear reuse rights not established.
